l,b,r,feh,vr
305.9,-44.89,4.3,-0.76,-18.7
152.3,-89.38,8.1,-1.24,-46.6
301.5,-46.25,8.3,-1.16,223.5
270.5,-52.13,16,-1.35,68.2
130.1,19.03,9.7,-0.8,999
258.4,-48.47,119.1,-1.8,116
218.1,-41.33,80.8,-1.46,-23.6
170.5,-9.07,26.9,-1.3,-133
244.5,-35.04,12.2,-1.26,320.9
227.2,-29.35,12.6,-1.54,207.5
245.6,-16.01,10.6,-1.85,148.9
180.4,25.24,82.3,-2.12,-20
261.3,7,38.5,-1.2,999
282.2,-11.25,9.3,-1.37,93.6
292.3,-19.02,4.2,-0.8,999
240.1,41.86,89.4,-1.66,83.4
277.2,8.64,5.1,-1.48,494
202.3,71.8,99.6,-1.48,74.5
252.9,77.19,18.8,-1.83,183.2
301,-9.88,4.9,-2.09,72.3
300.9,11.67,20.6,-1.8,-44
299.6,36.05,10.1,-2.06,-95.2
303.6,-8.01,5.9,-1.79,200.2
333,79.76,18.4,-2.07,-79.1
335.7,78.94,16.2,-2.29,44
309.1,14.97,5.1,-1.62,232.3
42.21,78.71,10,-1.57,-148.6
311.6,10.57,10.7,-1.67,58.3
320.1,33.54,29.2,-2,999
42.15,73.59,16.6,-2.22,107.7
342.2,49.26,25.3,-1.82,-45.1
331.1,30.36,33.9,-1.86,-145.8
307.3,-20.47,18.4,-1.6,999
332.5,22.07,31.3,-1.85,-38.4
0.85,45.86,22.6,-1.38,-55
342.9,30.29,12.7,-1.8,101.5
3.86,46.8,7.3,-1.29,52.1
326.6,4.86,7.4,-0.37,-115.7
327.6,4.19,12.3,-1.38,119.5
328.4,4.34,15.2,999,999
337,13.27,10.3,-1.67,88.9
328.8,-2.79,7,-0.62,8
28.75,42.18,72.2,-1.52,76.6
352.7,19.46,8.7,-1.62,9.3
351,15.97,2.2,-1.2,70.2
317.7,-15.82,15.1,-1.82,361.4
351.9,15.7,10.1,-1.73,188.9
342.4,6.94,10.5,-1.65,6.7
345.1,9.19,26.4,999,999
3.37,23.01,6.3,-1.04,-33.8
351.9,12.1,7.6,999,999
59.01,40.91,7,-1.54,-246.6
73.64,40.31,29.3,-1.44,-154.2
15.72,26.31,4.7,-1.48,-42.1
358.9,13.52,9.7,-1.4,87.3
15.14,23.08,4.3,-1.52,75.8
347.8,3.31,9.3,-0.7,999
18.87,24.3,43.6,-1.9,68.9
353.6,7.32,6.7,-1.29,-65.8
356.9,9.38,8.5,-1.68,135
358.3,9.94,14.3,-1.32,29.7
0.13,11.02,8.4,-2.05,-208
357.6,7.83,8.8,-1.92,-98.9
355.8,5.38,6,-0.59,-107.3
357.2,5.76,11.5,-0.55,71.5
68.34,34.86,8.1,-2.29,-121.6
0.97,8,9.4,-1.17,3.1
5.54,10.7,8.3,-1.72,229.1
4.9,9.73,9.1,-0.65,80.9
6.72,10.22,14.6,-0.5,27
359.6,5.43,7.1,-1.5,-176.9
341.4,-7.17,5.6,-0.7,-120.9
16.53,15.14,24.5,-1.7,999
356.3,2.3,9.5,-0.25,109
18.41,16.04,3.6,-0.82,-122.3
356,1.31,8.9,-1.6,-50
357.4,2.12,7.2,-1.5,53.1
325.5,-17.57,7.5,-1.06,-13.1
354.8,-0.16,10.5,0.22,52
357.6,1,6.5,-0.35,35
350.8,-3.42,7.9,-0.5,1.3
345.6,-6.74,11.5,-0.6,81.2
21.32,14.81,8.7,-1.39,-66.1
3.45,3.98,7.5,-1.12,-65
338.2,-11.96,2.2,-1.95,18.9
2.09,1.78,6.7,-0.1,201
28.09,16.23,19.9,-2.26,-162
356.7,-2.48,9.2,999,999
3.81,1.67,8,-0.28,-94
7.73,3.8,8,-0.34,-78.7
353.5,-5.01,9.7,-0.53,18.3
358.6,-2.16,7.5,-0.65,126
355.7,-3.87,10.9,-1.53,-83.7
5.12,0.76,7.5,-1.2,999
348,-10.01,11.6,-0.64,-112.7
3.6,-1.99,7.8,-1,59
2.76,-2.51,13.8,999,999
19.23,6.76,10.5,-1.37,-39.6
4.42,-1.86,8.4,-0.7,999
1.02,-3.93,7,-1.52,-15
27.18,10.44,6.8,-1.8,-215.1
1.14,-4.17,7.4,-0.17,184.9
20.8,6.78,7.9,-0.66,-45.6
3.29,-3.31,3.5,-1,999
5.84,-2.2,2.5,-1.56,-27.3
349.3,-11.18,7.4,-1.83,-156.2
5.25,-3.02,4.7,-0.25,-6.5
0.2,-6.03,6.4,-1.44,-143.7
21.83,5.67,9.3,999,999
0.48,-6.68,8.5,-0.86,-28.1
342.1,-16.41,13,-1.49,222.9
2.79,-7.91,7.9,-0.42,53.9
7.8,-5.58,5.7,-1.45,17
7.9,-7.15,8.2,-0.99,18.1
1.72,-10.27,8.2,-0.71,39.9
9.81,-6.44,7.6,-1.35,-57.2
1.53,-11.38,9.4,-0.96,-111.7
9.89,-7.55,3.2,-1.64,-148.9
14.1,-6.8,12.4,-0.48,-43
2.85,-12.51,8.7,-1.51,218.6
25.35,-4.32,6.7,-1.01,-107.7
5.61,-14.09,26.2,-1.59,141.9
12.88,-10.9,7.1,-1.29,22.8
0.07,-17.3,8.6,-1.12,-94.5
36.2,-2.2,7.7,-1.6,999
336.5,-25.63,3.9,-1.55,-24.5
36.11,-3.92,7.3,-0.52,-27.5
62.66,8.34,9.9,-1.94,-135.7
3.39,-20.07,23,-0.58,166
52.44,2.72,5.8,-0.1,999
8.55,-20.78,27.6,-1.76,115
8.8,-23.27,5.3,-1.81,174.8
5.76,-24.56,25.4,-1.87,130
31.81,-15.58,12.6,-0.39,-68
56.74,-4.56,3.8,-0.73,-22.9
20.3,-25.75,18.4,-1.32,-189.3
